SurveyID,Date,Season,Property,Quadrat no,Easting ,Northing,Aspect,Landscape position,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,precipitation_warmest_quarter,precipitation_coldest_quarter,PET,MrVBF,K_perc,Th_ppm,U_ppm,SRad_Jan,SRad_Jul
22,26/07/2006,Winter 2006,Gough,5,359497,5922192,s,slope,0,29,3.3,0,0,1.7,43.3,1.7,0,0,3,13.3,3.3,15,0,5,0,0,0,710,123,236,1255.265,0,2.9,12.65,5.82,169049,61712
23,26/07/2006,Winter 2006,Gough,6,359480,5955191,n,slope,8.4,36.7,3.3,0,0,0,43.4,0,0,0,1.7,10,3.3,3.3,0,5,0,0,0,540,103,166,1328.118,6.815859,1.51,15.2,5.78,176759,43914
24,26/07/2006,Winter 2006,Gough,7,359428,5921795,s,toe_of_slope,10,24.9,35.1,0,0,0,0,10,0,0,3.3,16.7,0,10,13.3,0,0,0,0,722,125,242,1253.349,0,2.82,11.58,7.05,176665,40941
25,26/07/2006,Winter 2006,Gough,8,358742,5921709,s,slope,3.4,40.1,43,0,0,6.7,13.3,2.3,1.7,0,4,10,6.7,13.3,0,4,0,0,0,692,121,228,1253.774,0,2.8,11.39,8.13,176653,42790
26,26/07/2006,Winter 2006,Gough,9,359198,5921949,s,slope,3.3,48.3,20,3.3,0,0,7.3,0,0,0,3,8.3,1.7,6.7,0,10,0,0,0,714,124,238,1254.109,0.06645038,3.02,12.55,6.23,174657,38850
27,27/07/2006,Winter 2006,Green,1,360032,5871750,n,slope,1.7,8.3,14.3,6.7,0,0,3.3,0,0,0,63.3,0,0.6,7.7,0,47,0,6,0,840,151,255,1153.87,0.1002374,1.58,15.54,7.29,177660,46884
28,27/07/2006,Winter 2006,Green,2,359983,5871719,n,slope,12.6,58.3,2.3,1.7,0,0,11.6,0,0,0,20,0,0.6,5,0,7,0,1,0,847,152,257,1153.465,0.07779115,1.53,15.94,7.02,175872,50966
29,27/07/2006,Winter 2006,Green,3,360061,5871604,e,slope,28.4,10.6,43.4,6.7,0,0,1.7,3.4,0,0,5,0.6,0,0,0,23,0,0,0,877,156,267,1153.418,0,1.39,14.74,6.19,171163,41309
30,27/07/2006,Winter 2006,Green,4,359779,5871566,e,slope,4,21.7,7.3,21.7,0,0,35,0,0,0,11,0.6,6,8.3,0,12,0,0,0,916,161,282,1151.7,0,1.61,14.09,6.89,173083,58557
31,25/07/2006,Winter 2006,Hawkey,1,330170,6010619,0,flat,6.7,0,0,0,0,0,0,0,0,0,53.3,40,0,0,36.7,0,0,0,0,415,88,119,1391.781,8.984084,1.49,17.06,5.4,176433,43265
32,25/07/2006,Winter 2006,Hawkey,2,330187,6010583,0,flat,6.7,0,0,0,0,0,4.3,4.3,0,0,8.3,85,0,0,0,20,0,0,0,416,88,119,1391.742,8.984048,1.52,16.66,5.43,176504,43292
33,25/07/2006,Winter 2006,Hawkey,3,330110,6010544,0,flat,0,0,0,0,0,0,1.7,1.7,0,0,18.3,85,0,0,0,5,0,0,0,415,88,119,1391.674,8.984107,1.5,16.33,5.64,176386,43220
34,25/07/2006,Winter 2006,Hawkey,4,330200,6010497,0,flat,35,1.7,8,0,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,416,88,119,1391.64,8.983983,1.57,15.74,5.54,176526,43313
35,26/07/2006,Winter 2006,JClark,1,367739,5821489,sw,slope,11.7,0,0.7,0,0,0,4,0,0,0,3.3,46.7,53.3,10.6,20,0,1,1,0,,,,,,,,,,
36,26/07/2006,Winter 2006,JClark,2,368058,5872589,w,slope,4,10,2.3,0,0,0,30,0,0,0,28.3,20,1.7,14,0,0,0,0,0,918,157,289,1146.087,0,1.23,11.61,4.8,154899,19773
37,26/07/2006,Winter 2006,JClark,3,368143,5872626,s,slope,7.3,31.7,3.3,0,0,0,21.7,1.7,0,0,2.3,6.3,56.7,0,0,0,1,0,0,938,160,295,1145.717,0,1.25,12.84,5.15,176358,57979
38,26/07/2006,Winter 2006,JClark,4,368131,5872189,s,slope,0,0,0,0,0,0,13.3,1.3,2.3,0,7.3,18.3,66.7,8.3,68.3,0,1,0,0,912,157,287,1145.456,0,1.64,12.88,5.82,173137,38205
39,26/07/2006,Winter 2006,JClark,5,367696,5872366,nw,slope,2.3,5.6,71.7,0,0,0,18.3,0,0,0,0,4,63.3,4,0,43,0,0,0,851,149,263,1147.578,0,1.07,12.74,6.76,163569,27759
40,26/07/2006,Winter 2006,JClark,6,368650,5872203,w,slope,0,0,36.6,3.3,0,0,70,1.7,0,0,0,10,0,6.7,0,0,0,0,0,,,,,,,,,,
41,26/07/2006,Winter 2006,JClark,7,368188,5872013,se,slope,23.4,4.7,8.3,0,0,0,20,1.7,0,0,0,5,80,1.7,0,19,0,0,0,879,152,274,1145.074,0,1.7,13.3,6.74,149490,20883
42,26/07/2006,Winter 2006,Kellock,1,409176,5987415,n,slope,20,18.4,0,0,0,0,46.7,0,0,0,0,33.3,0,0,0,20,0,0,0,521,107,152,1361.393,0,1.75,11.84,4.3,170755,31967
43,25/07/2006,Winter 2006,Kellock,2,409242,5987228,s,slope,15,0.6,0,0,0,0,43.4,0,0,0,0,46.7,28.3,0,10,0,0,0,0,517,106,152,1361.083,0.7172261,1.57,13.62,4.94,174170,37154
44,25/07/2006,Winter 2006,Kellock,3,408941,5987483,e,slope,12.3,23.3,1,0,0,0,0,0,0,0,35,40,0,0,0,5,78,10,0,524,107,153,1361.967,1.463374,1.6,10.93,4.65,178044,45385
45,26/07/2006,Winter 2006,Kellock,4,409111,5987866,s,slope,16.7,0,3.3,0,0,0,33.4,0,0,0,0,36.7,36.7,0,0,5,0,0,0,523,107,153,1361.939,0,1.82,9.11,7.95,177667,45302
46,25/07/2006,Winter 2006,Kellock,5,409489,5987803,0,crest,8.4,1.7,0,0,0,0,11.7,0,0,0,3.3,63.3,0,20,26.7,0,0,0,0,520,106,152,1361.046,0.1044247,1.89,9.7,5.9,173290,38696
47,25/07/2006,Winter 2006,Kellock,6,408888,5987382,se,slope,16.7,5,1.7,0,0,0,41.7,0,0,0,0.7,41.7,36.7,0,20,0,0,0,0,524,107,153,1361.991,0,1.66,12.11,4.68,177642,42264
48,25/07/2006,Winter 2006,Kellock,7,409174,5987798,s,slope,8.3,7.3,3.3,0,0,0,50,1.7,0,0,1.7,28.3,36.7,20,0,10,0,0,0,525,107,153,1361.739,0,1.73,9.64,6.89,178002,45220
49,25/07/2006,Winter 2006,Kellock,8,408864,5987984,w,slope,20,8.3,0,0,0,0,50,0,0,0,0,30,0,0,0,40,0,0,0,520,106,152,1362.595,2.7696,2.26,11.4,6.27,176018,44747
50,25/07/2006,Winter 2006,Kellock,9,409135,5987761,ne,slope,25,2.3,0,0,0,0,53.3,0,0,0,0,33.3,0,0,0,0,0,0,0,524,107,153,1361.792,0.005813369,1.77,9.73,6.53,176858,43785
51,20/07/2006,Winter 2006,Martin,1,387782,5968745,e,slope,4.4,0.7,0,3.3,0,0,5.7,0,0,0,0,93.3,0,0,0,0,0,0,0,570,111,176,1343.02,5.991364,1.86,16.05,7.01,177343,43301
52,20/07/2006,Winter 2006,Martin,2,388746,5967248,0,flat,5.7,0,0,0,0,0,30,0,1,0,1.7,36.7,43.3,0.7,8.3,0,0,5,0,575,111,178,1341.965,6.789413,2.01,15.88,6.2,176998,43582
53,20/07/2006,Winter 2006,Martin,3,388765,5956890,ne,slope,7.6,1,2.7,0,0,0,70,0,0,0,2,30,30,0,0,20,0,3,0,633,116,203,1328.594,2.843937,0.94,16.89,5.78,177487,43479
54,20/07/2006,Winter 2006,Martin,4,388358,5956799,0,flat,2,2.3,0,0,0,0,38.3,1,0,0,5,21.7,36.7,0,0,5,1,10,0,633,116,203,1328.35,2.638773,1.09,15.8,5.42,177748,43652
55,20/07/2006,Winter 2006,Martin,5,388477,5956640,0,flat,3.7,1,0,0,0,0,60,0,0,0,4,60,11.7,0,0,10,0,0,0,634,116,203,1328.187,2.825684,1.2,16.67,5.36,177922,43637
56,20/07/2006,Winter 2006,Martin,6,388029,5956943,0,flat,3,1,0,0,0,0,23.3,0,0,0,16,15,38.3,3.3,0,10,0,2,0,632,116,203,1328.402,2.990049,1.08,18.19,5.79,177486,44003
57,20/07/2006,Winter 2006,Martin,7,388341,5956084,0,flat,0,0,0,2.3,0,0,5,0,0,0,0,95,8.3,0,38.3,0,0,0,0,636,116,204,1327.442,3.784822,0.96,16.85,4.94,177707,43442
58,20/07/2006,Winter 2006,Martin,8,388423,5956006,se,slope,6.3,1.7,0,0,0,0,83.3,1,0,0,4.7,20,11.7,0,0,50,0,0,0,636,116,204,1327.37,3.851287,0.94,15.77,5.59,177711,43463
59,20/07/2006,Winter 2006,Martin,9,388452,5971319,0,flat,10,0,2.3,0,0,0,31.7,0,0,0,1.7,15,48.3,0,0,31,0,3,0,561,111,172,1343.154,5.991758,1.85,15.89,6.09,177409,43124
60,20/07/2006,Winter 2006,Martin,10,388732,5960630,0,flat,8.3,0,1.7,0,0,0,63.3,0,0,0,18.3,33.3,31.7,0,0,45,0,7,0,607,114,192,1333.745,1.247141,1.49,16.86,4.9,176079,44092
61,20/07/2006,Winter 2006,Martin,11,387873,5957455,e,slope,5,10,0,0,0,0,60,0,0,0,0.7,50,0,0,0,0,1,1,0,629,115,201,1328.975,3.435621,1.17,16.27,5.68,177128,43858
62,18/07/2006,Winter 2006,McCracken,1,358110,5957069,0,flat,16.7,9.1,0,0.3,0,0,8.3,0,1.7,0,12.3,58.3,4,0,0,0,0,0,0,533,102,163,1330.596,7.552374,1.51,15.11,5.94,176776,43653
63,18/07/2006,Winter 2006,McCracken,2,358317,5957468,0,flat,4,0,0,0,0,0,5.7,0,0,0,16.7,66.7,8.3,0,0,0,0,2,0,533,102,163,1331.089,7.558764,1.38,14.65,6.86,176739,43617
64,18/07/2006,Winter 2006,McCracken,3,357720,5957153,0,flat,6.7,1.3,0,0,0,0,36.7,0,0.7,0,45,13.3,10,0,0,10,0,2,0,532,102,162,1330.719,7.602566,1.45,14.86,6.45,176759,43666
65,18/07/2006,Winter 2006,McCracken,4,358331,5957240,0,flat,6.7,0,0,0,0,0,5,0,0,0,40,46.7,4,0,0,0,0,0,0,533,102,163,1330.802,7.539523,1.49,15.5,6.13,176790,43655
66,18/07/2006,Winter 2006,McCracken,5,358632,5957291,0,flat,10,0.7,0,0,0,0,18.3,0,1.7,0,15,76.7,4.3,0,0,0,0,0,0,534,102,163,1330.848,7.507744,1.59,13.06,5.79,176794,43640
67,18/07/2006,Winter 2006,McCracken,6,358145,5957383,0,flat,21.7,10,0,1.7,0,0,16.7,0,0,0,7.7,40,8.3,0,0,0,0,0,0,533,102,163,1330.99,7.571967,1.43,14.61,6.47,176769,43623
68,18/07/2006,Winter 2006,McCracken,7,358137,5957448,0,flat,25,14,0,4,0,0,0,0,0,0,5.7,53.3,1.7,0,0,0,1,0,0,533,102,163,1331.072,7.577585,1.41,14.52,6.55,176860,43806
69,18/07/2006,Winter 2006,McCracken,8,358289,5956904,0,flat,7.6,1,0,0,0,0,16.7,0,20,0,6.7,48.3,5.7,0,0,0,0,1,0,534,102,163,1330.381,7.51786,1.6,15.06,6.01,176813,43717
70,27/07/2006,Winter 2006,Olive,1,377590,5876368,0,flat,13.3,11.4,8.3,0,0,0,8.3,0,0,5,16.7,40,19.7,11.7,0,5,0,0,0,903,150,292,1169.098,0,1.2,14.48,6.56,176700,51068
71,27/07/2006,Winter 2006,Olive,2,377744,5976421,e,slope,3,8.4,2.3,0,0,0,8.3,10,0,5,0,61.7,63.3,5,21.7,0,0,0,0,535,107,162,1348.486,3.412114,1.47,10.82,2.98,176043,42907
72,27/07/2006,Winter 2006,Olive,3,377219,5876496,s,slope,48.3,12.7,45.3,0,0,0,0,6,0,0,0,8.3,46.7,0,0,3,0,0,0,923,153,299,1168.175,0,1.58,13.04,6.31,176244,44868
73,27/07/2006,Winter 2006,Olive,4,377015,5876440,e,slope,15,44,0,0,0,0,30,1.7,0,0,7.3,16.7,6.7,0,0,17,0,0,0,967,158,317,1167.037,0,1.41,13.74,5.91,172278,35910
74,27/07/2006,Winter 2006,Olive,5,377790,5876366,e,slope,40,10,23.3,0,0,0,6.7,1.7,0,3.3,7.3,15,38.3,0,0,28,0,0,0,868,146,279,1169.934,1.911872,1.35,13.77,5.78,176164,43041
75,25/07/2006,Winter 2006,Rokahr,1,387771,5985347,0,flat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,523,109,155,1362.995,5.944223,1.95,12.65,5.7,176917,43809
76,25/07/2006,Winter 2006,Rokahr,2,388366,5985356,0,flat,45,6.6,3.3,0,0,0,3.3,0,0,0,1.7,46.7,0,0,0,0,0,0,0,523,110,155,1363.188,5.94467,2,11.66,5.33,176972,43903
77,25/07/2006,Winter 2006,Rokahr,3,387809,5985141,0,flat,9,1.7,1.7,0,0,0,26.7,0,0,0,2.3,60,35,0,0,10,0,0,0,523,109,155,1362.76,5.942379,1.9,12.76,5.57,176965,43884
78,25/07/2006,Winter 2006,Rokahr,4,387671,5984967,0,flat,8.3,0,0,0,0,0,1.7,0,0,0,0,100,0,0,0,0,0,0,0,524,109,155,1362.523,5.937742,1.88,14.12,5.69,176996,43916
79,25/07/2006,Winter 2006,Rokahr,5,387695,5985380,0,flat,4,13.3,0,0,0,0,13.3,0,0,0,10,70,0,0,0,2,0,0,0,523,109,155,1363.023,5.943304,1.94,13.36,5.83,176920,43800
80,25/07/2006,Winter 2006,Rokahr,6,387753,5985068,0,flat,3.9,0.6,0,0,0,0,0,0,0,0,30,56.7,0,0.6,0,0,0,0,0,523,109,155,1362.659,5.940495,1.89,14.09,5.63,176987,43904
81,25/07/2006,Winter 2006,Rokahr,7,388043,5985088,0,flat,8.3,0,0,0,1.7,0,13.3,0,0,0,1.3,66.7,33.3,0,0,23,0,0,0,523,109,155,1362.77,5.94552,1.94,13.98,6.57,176966,43914
82,19/07/2006,Winter 2006,Sharrock,1,383318,5955469,nw,slope,1.7,0,0,0,0,0,0,0.3,0,0,28.3,56.7,15,9,0,0,1,1,0,628,114,202,1325.028,0.07511351,1.69,15.22,4.98,174609,41544
83,19/07/2006,Winter 2006,Sharrock,2,383400,5955169,w,slope,5,0.3,0,0,0,0,9.7,0,0,20,30.7,46.7,3.3,2.3,0,0,0,2,0,627,114,201,1324.739,0,1.61,16.73,5.3,175584,41872
84,19/07/2006,Winter 2006,Sharrock,3,383228,5955360,s,slope,13.3,3.6,3.3,10,0,0,36.7,0.7,0,0,4,26.7,23.3,0,0,20,0,0,0,625,114,201,1324.9,0.539486,1.7,15.99,4.85,175448,42180
85,19/07/2006,Winter 2006,Sharrock,4,383368,5955220,w,slope,2.7,0,0,0,0,0,4.7,0,0,0,41.7,30,6.3,16.7,0,0,4,7,0,627,114,201,1324.785,1.421297,1.65,16.94,4.95,175867,42670
86,27/07/2006,Winter 2006,Staff,1,385708,5939744,nw,slope,1,8.3,28.3,41.7,0,0,8.3,0,0,0,2.3,20,0,0,26.7,0,0,0,0,852,137,298,1279.636,0,1.78,18.05,6.3,175642,57061
87,27/07/2006,Winter 2006,Staff,2,386193,5939749,s,slope,1.4,0.3,1,0,0,18.3,27.3,2.3,0,0,0.7,66.7,23.3,11.7,23.3,0,1,21,0,781,129,268,1277.724,0.5566521,2.28,20.44,6.29,174375,45380
88,27/07/2006,Winter 2006,Staff,3,385599,5939313,0,crest,2,9,3,0,0,5,36.7,3.7,0,0,4,23.3,5,23.3,0,0,1,3,0,871,139,306,1277.886,0,1.56,17.36,4.8,179018,45785
89,27/07/2006,Winter 2006,Staff,4,385701,5939171,sw,slope,0,16.4,8.7,0,0,6.7,30,0,0,0,5.7,5,5,28.3,0,10,0,0,0,882,140,310,1276.734,0.09280223,1.66,15.17,5.06,177471,45557
90,27/07/2006,Winter 2006,Staff,5,386179,5939590,n,slope,2.3,16.9,14,0,0,0,23.3,6.7,0,0,0.7,6.7,0,7.3,0,0,9,11,0,803,131,276,1276.933,0,1.94,19.08,5.31,174551,54713
91,27/07/2006,Winter 2006,Staff,6,386037,5939836,n,slope,0.3,18,4,0,0,0,82.4,0,0,0,8,5.7,2.7,1,0,30,0,0,0,787,129,270,1278.805,0,1.99,19.19,5.52,174250,48061
92,27/07/2006,Winter 2006,Staff,7,385604,5939140,e,slope,0.3,6.3,3,0,0,6.7,26.6,0,0,0,10,10,16.7,28.3,0,15,0,12,0,870,139,305,1276.989,0.2863232,1.73,15.32,5.74,168389,33412
93,27/07/2006,Winter 2006,Staff,8,385700,5939655,s,slope,1.3,2.3,3,0,0,0,10,2.4,1.7,0,16.7,40,30,12.3,26.7,0,3,16,0,870,139,305,1279.212,0,1.65,18.12,6.7,177283,57179
94,27/07/2006,Winter 2006,Staff,9,385991,5939583,n,slope,0,14.6,27,0,0,0,3.3,0.7,0,0,5,16.7,2.7,11.3,0,20,0,0,0,822,133,285,1277.661,0,1.63,16.19,6.67,172333,52714
95,27/07/2006,Winter 2006,Stoney,1,410529,5895093,e,slope,1.3,8.6,3.4,0,0,0,15,14.4,0,0,10,53.3,18.3,0,0,0,0,0,0,792,141,253,1193.953,2.853625,1.57,11.53,6.53,177381,44569
96,27/07/2006,Winter 2006,Stoney,2,410683,5895072,e,slope,0,29,21.6,0,0,0,31.7,0.7,0,0,0.7,15,20,5,0,29,0,0,0,793,141,253,1193.921,0.6115812,1.45,12.2,5.99,178350,45795
97,27/07/2006,Winter 2006,Stoney,3,410440,5895054,ne,slope,3.4,7.7,6.7,0,0,0,58.3,3.4,0,0,10,16.7,0,10,0,3,0,0,0,793,141,253,1193.9,0.8457342,1.74,13.14,6.74,177272,44708
98,27/07/2006,Winter 2006,Stoney,4,410545,5895038,e,slope,0,14,15,0,0,0,26,1.7,0,0,0,5.7,46.7,8.3,0,48,0,0,0,793,141,253,1193.876,2.347925,1.47,12.32,6.6,177636,44790
99,27/07/2006,Winter 2006,Stoney,5,410374,5895094,se,slope,16.7,24,29,0,0,0,20,1.7,0,0,5,11.7,0,0,16.7,0,0,0,0,794,141,253,1193.957,0.5204329,1.65,13.69,6.89,177827,46510
100,27/07/2006,Winter 2006,Stoney,6,410210,5895023,e,slope,11.7,26.7,5,0,0,0,43.3,0,0,0,2.3,4.3,6.7,18.3,0,41,0,0,0,794,141,254,1193.863,0,1.84,14.8,7.55,168772,34622
101,27/07/2006,Winter 2006,Stoney,7,410284,5895820,ne,slope,5,25,12.7,0,0,0,1,0,0,0,10,23.3,0,9.3,0,0,0,0,0,798,142,254,1193.942,0,1.77,14.22,7.38,175725,52273
102,24/07/2006,Winter 2006,Taylor,1,389720,5954557,0,flat,2,0,1.3,25,0,0,41.7,0,0,0,17.3,28.3,0,0,0,45,0,0,0,641,116,207,1325.838,5.624444,1.13,16.78,5.23,177182,43587
103,24/07/2006,Winter 2006,Taylor,2,378805,5954456,0,flat,1.3,0,4.3,61.7,0,0,11.7,0,0,0,30,6.7,6.7,0,0,30,0,0,0,605,111,192,1323.155,5.788588,1.36,16.43,5.11,175738,43138
104,24/07/2006,Winter 2006,Taylor,3,389669,5954833,0,flat,4,0,2.3,76.7,0,0,18.3,0,0,0,13.3,11.7,8.3,0,0,25,0,0,0,640,116,206,1326.187,5.439357,1.09,15.52,5.5,177092,43517
105,24/07/2006,Winter 2006,Taylor,4,389746,5954624,0,flat,2.7,0,0,2,0,0,1.7,0,0,0,66.7,5,28.3,0,0,0,0,0,0,641,116,207,1325.931,5.601019,1.08,16.93,5.27,177145,43495
106,24/07/2006,Winter 2006,Taylor,5,389635,5954910,0,flat,1.4,0,0.7,13.3,0,0,3.3,0,0,0,43.3,43.3,1.7,0,0,5,0,0,0,639,116,206,1326.279,4.985059,1.15,16.04,5.19,177138,43604
107,27/07/2006,Winter 2006,Wakefield,1,348307,5874042,nw,slope,21.6,2.3,18.3,6.7,0,0,26.7,0,0,0,3.3,15,15.7,0,0,7,0,0,0,778,144,233,1144.395,0,1.49,14.03,5.87,158653,22953
108,27/07/2006,Winter 2006,Wakefield,2,348206,5874084,s,slope,33.3,0,3.3,48.3,0,0,0,6.7,0,0,0,20,0,0,5,0,0,0,0,793,146,238,1144.583,0,1.59,13.66,6.5,163047,27423
109,27/07/2006,Winter 2006,Wakefield,3,348532,5874001,nw,slope,26.6,0,13.3,3.3,3.3,0,40,0,0,0,0,21.7,0,0,0,11,0,0,0,787,146,236,1144.338,0,1.66,12.92,4.97,174062,47152
110,27/07/2006,Winter 2006,Wakefield,4,348165,5874028,s,slope,33.3,25,3.3,30,0,0,0,0,10,0,0,13.3,0,0,0,4,0,1,0,773,144,230,1144.157,0,1.67,13.59,6.52,151541,18334
111,26/07/2006,Winter 2006,Yorston,1,359010,5894495,nw,slope,0,0,46.7,8.3,0,0,40,0,0,0,5.7,6.7,0,0,0,18,0,0,0,955,158,317,1151.004,0,1.36,17.27,7.65,181545,42584
112,26/07/2006,Winter 2006,Yorston,2,359018,5894606,nw,slope,5,1.7,35,0,0,0,43.3,3.3,0,0,0.7,16.7,2.3,14,0,0,0,0,0,962,158,320,1150.63,0,1.32,17.13,7.35,185782,48797
113,26/07/2006,Winter 2006,Yorston,3,358205,5895793,s,slope,0,13,6.6,30,0,0,43.3,0,0,0,0,18.3,0,0,0,0,0,0,0,843,143,276,1150.362,0,2.5,17.81,8.16,180975,45272
114,26/07/2006,Winter 2006,Yorston,4,358932,5894600,nw,slope,0,13.3,60,38.3,0,0,0,1.7,0,0,1.3,15,0,0,0,36,0,0,0,935,155,310,1151.013,0,1.33,17.21,7.37,180047,45594
115,26/07/2006,Winter 2006,Yorston,5,358861,5894634,w,slope,74,0,8.3,0,0,0,0,0,0,0,1.7,31.6,0,0,0,0,0,0,0,911,152,300,1151.209,0,1.39,17.61,7.43,179079,46465
