variable_name,variable_description
all_grass,eucalyptus variable: all_grass: analyst-constructed: sum of all grass cover. May or may not include NativePerennialGraminoid_cover
all_exotic_grass,eucalyptus variable: all_exotic_grass: analyst-constructed: sum of annual and perennial exotic grass
all_native_grass_graminoid,eucalyptus variable: all_native_grass_graminoid: analyst-constructed: sum of native perennial grass and native graminoid
all_non-grass_veg,eucalyptus variable: all_non-grass_veg: analyst-constructed: all vegetation other than grass
shrub_cover,eucalyptus variable: shrub_cover: analyst-constructed: ExoticShrub_cover + NativeShrub_cover
herb_cover,eucalyptus variable: herb_cover: analyst-constructed: ExoticAnnualHerb_cover+ExoticPerennialHerb_cover+NativePerennialHerb_cover
other_veg,eucalyptus variable: other_veg: analyst-constructed: NativePerennialFern_cover + NativePerennialGraminoid_cover + MossLichen_cover + Litter_cover
bare,eucalyptus variable: bare: analyst-constructed: bare ground + rock cover
month,eucalyptus variable: month: analyst-constructed: month of sampling
all_exotic_herb,eucalyptus variable: all_exotic_herb: analyst-constructed: exotic annual herb cover + exotic perennial herb cover
native_herb_fern_gram,eucalyptus variable: native_herb_fern_gram: analyst-constructed: nativePerennialFern_cover + NativePerennialGraminoid_cover + nativePerennialHerb_cover
growing_space,eucalyptus variable: growing_space: analyst-constructed: Litter_cover + MossLichen_cover + BareGround_cover / ExoticAnnualHerb_cover + ExoticPerennialHerb_cover + ExoticShrub_cover + NativePerennialFern_cover + NativePerennialHerb_cover + NativeShrub_cover + Rock_cover
soilPC1,"eucalyptus variable: soilPC1: analyst-constructed: PC1 from PCA of K_perc, Th_ppm, and U_ppm"
coverPC1,"eucalyptus variable: coverPC1: analyst-constructed: PC1 from PCA of ExoticAnnualHerb_cover, ExoticPerennialHerb_cover, ExoticShrub_cover, NativePerennialFern_cover, NativePerennialHerb_cover, NativePerennialGraminoid_cover, NativeShrub_cover, BareGround_cover, Litter_cover, MossLichen_cover, and Rock_cover"
coverPC2,"eucalyptus variable: coverPC2: analyst-constructed: PC2 from PCA of ExoticAnnualHerb_cover, ExoticPerennialHerb_cover, ExoticShrub_cover, NativePerennialFern_cover, NativePerennialHerb_cover, NativePerennialGraminoid_cover, NativeShrub_cover, BareGround_cover, Litter_cover, MossLichen_cover, and Rock_cover"
coverPC3,"eucalyptus variable: coverPC3: analyst-constructed: PC3 from PCA of ExoticAnnualHerb_cover, ExoticPerennialHerb_cover, ExoticShrub_cover, NativePerennialFern_cover, NativePerennialHerb_cover, NativePerennialGraminoid_cover, NativeShrub_cover, BareGround_cover, Litter_cover, MossLichen_cover, and Rock_cover"
precip_max_range,eucalyptus variable: precip_max_range: analyst-constructed: precipitation in warmest quarter – precipitation in coldest-quarter
year,eucalyptus variable: year: analyst-constructed: year
size_class,"eucalyptus variable: size_class: analyst-constructed: size class of eucalyptus stems tallied (when all tallys are in the same column, with a separate column designating 0-50cm, 50cm-2m, or >2m)"
all_perennial_grass,eucalyptus variable: all_perennial_grass: analyst-constructed: sum of native perennial grass and exotic perennial grass
sample,eucalyptus variable: sample: analyst-constructed: season + property
hatch_year,Blue tit variable: hatch_year
hatch_nest_breed_ID,Blue tit variable: hatch_nest_breed_ID
hatch_Area,Blue tit variable: hatch_Area
hatch_Box,Blue tit variable: hatch_Box
hatch_mom_Ring,Blue tit variable: hatch_mom_Ring
hatch_nest_dad_Ring,Blue tit variable: hatch_nest_dad_Ring
Extra-pair_paternity,Blue tit variable: Extra-pair_paternity
Extra-pair_dad_ring,Blue tit variable: Extra-pair_dad_ring
genetic_dad_ring_(WP_or_EP),Blue tit variable: genetic_dad_ring_(WP_or_EP)
hatch_nest_LD,Blue tit variable: hatch_nest_LD
hatch_nest_CS,Blue tit variable: hatch_nest_CS
hatch_nest_OH,Blue tit variable: hatch_nest_OH
d0_hatch_nest_brood_size,Blue tit variable: d0_hatch_nest_brood_size
d14_hatch_nest_brood_size,Blue tit variable: d14_hatch_nest_brood_size
rear_nest_breed_ID,Blue tit variable: rear_nest_breed_ID
rear_area,Blue tit variable: rear_area
rear_Box,Blue tit variable: rear_Box
rear_mom_Ring,Blue tit variable: rear_mom_Ring
rear_dad_Ring,Blue tit variable: rear_dad_Ring
rear_nest_trt,Blue tit variable: rear_nest_trt
home_or_away,Blue tit variable: home_or_away
rear_nest_LD,Blue tit variable: rear_nest_LD
rear_nest_CS,Blue tit variable: rear_nest_CS
rear_nest_OH,Blue tit variable: rear_nest_OH
rear_d0_rear_nest_brood_size,Blue tit variable: rear_d0_rear_nest_brood_size
rear_Cs_out,Blue tit variable: rear_Cs_out
rear_Cs_in,Blue tit variable: rear_Cs_in
net_rearing_manipulation,Blue tit variable: net_rearing_manipulation
rear_Cs_at_start_of_rearing,Blue tit variable: rear_Cs_at_start_of_rearing
d14_rear_nest_brood_size,Blue tit variable: d14_rear_nest_brood_size
number_chicks_fledged_from_rear_nest,Blue tit variable: number_chicks_fledged_from_rear_nest
Date_of_day14,Blue tit variable: Date_of_day14
day_14_tarsus_length,Blue tit variable: day_14_tarsus_length
day_14_weight,Blue tit variable: day_14_weight
day14_measurer,Blue tit variable: day14_measurer
chick_sex_molec,Blue tit variable: chick_sex_molec
chick_survival_to_first_breed_season,Blue tit variable: chick_survival_to_first_breed_season
within-area_movement,Blue tit variable: within-area_movement: analyst-constructed: whether cross fostering moved chicks to another area of the wood or within the same area
brood_reduction,Blue tit variable: brood_reduction: analyst-constructed: rear_Cs_at_start_of_rearing - chicks fledged
blood_sib,Blue tit variable: blood_sib: analyst-constructed: number of siblings in nest with same genetic parents (excludes cross-fostered)
hatch_incub_length,Blue tit variable: hatch_incub_length: analyst-constructed: hatch_nest_OH - hatch_nest_LD
rear_incub_length,Blue tit variable: rear_incub_length: analyst-constructed: rear_nest_OH - rear_nest_LD
relatedness,Blue tit variable: relatedness: analyst-constructed: proportion of nestlings in the rearing nest who were hatched in that nest
competition_weight,Blue tit variable: competition_weight: analyst-constructed: xd14_rear_nest_brood_size × x ̅day_14 _weight | d14_rear_nest_breed_ID
relative_CS,Blue tit variable: relative_CS: analyst-constructed: rear_Cs_at_start_of_rearing / rear_nest_CS ###or### rear_Cs_at_start_of_rearing / rear_d0_rear_nest_brood_size
envir_rear,"Blue tit variable: envir_rear: analyst-constructed: concatenation of the following: hatch_year, hatch_nest_Ohbin, rear_Area"
percent_change,Blue tit variable: percent_change: analyst-constructed: (net_rearing_manipulation/rear_d0_rear_nest_brood_size)*100
parentage,Blue tit variable: parentage: analyst-constructed: combined hatch_mom_Ring and genetic_dad_ring_(WP_or_EP)
manipulation_non,Blue tit variable: manipulation_non: analyst-constructed: rearing nest manipulated or not manipulated
seasonal_timing,"Blue tit variable: seasonal_timing: analyst-constructed: PC1 from PCA of all date variables (hatch nest lay date, hatch nest hatch date, rear nest lay day, rear nest hatch date,d14 date)"
brood_mortality,Blue tit variable: brood_mortality: analyst-constructed: proportion of nestlings that died between cross-fostering day and day 14
brood_sex_ratio,"Blue tit variable: brood_sex_ratio: analyst-constructed: proportion of males in the nest (1 = all males, 0 = all females), while indicating unknown sex of chicks as 0.5"
