response_id_S2,analysis_id_S2,submission_id_S2,ReviewerId,PriorBelief,RateAnalysis,PublishableAsIs
R_3EZsdPTvOnZBe9S,1,1,Rev132,Negative relationship (more competition = less growth),75,publishable with minor revision
R_2CEpr5R0zCk1v1Q,1,1,Rev88,NA,59,publishable with major revision
R_3nBCE4hMLh5s3qt,1,1,Rev88,NA,61,publishable with major revision
R_3nBCE4hMLh5s3qt,2,2,Rev88,NA,61,publishable with major revision
R_1llU7rt7jpCEaKe,1,1,Rev88,NA,93,publishable as is
R_1llU7rt7jpCEaKe,2,2,Rev88,NA,93,publishable as is
R_1llU7rt7jpCEaKe,3,3,Rev88,NA,93,publishable as is
R_2vYtB65EABDGMNB,2,1,Rev88,NA,91,publishable with minor revision
R_2vYtB65EABDGMNB,1,2,Rev88,NA,91,publishable with minor revision
R_2uIDO25lv0nHjfH,1,1,Rev88,NA,45,publishable with major revision
NA,NA,NA,Rev31,Negative relationship (more competition = less growth),65,publishable with major revision
NA,NA,NA,Rev31,Negative relationship (more competition = less growth),70,publishable with minor revision
R_1o4ElmLsRiBa4FJ,1,1,Rev31,Negative relationship (more competition = less growth),70,publishable with major revision
R_1o4ElmLsRiBa4FJ,2,2,Rev31,Negative relationship (more competition = less growth),70,publishable with major revision
R_1o4ElmLsRiBa4FJ,3,3,Rev31,Negative relationship (more competition = less growth),70,publishable with major revision
R_1o4ElmLsRiBa4FJ,4,4,Rev31,Negative relationship (more competition = less growth),70,publishable with major revision
R_2xPmP71Af1t1YR5,1,1,Rev31,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2SualymdumDBI63,1,1,Rev31,Negative relationship (more competition = less growth),75,publishable with major revision
R_2SualymdumDBI63,2,2,Rev31,Negative relationship (more competition = less growth),75,publishable with major revision
R_2SualymdumDBI63,3,3,Rev31,Negative relationship (more competition = less growth),75,publishable with major revision
R_1d0uRf5iNWOLD8M,1,1,Rev120,Negative relationship (more competition = less growth),75,publishable with major revision
R_2Wwn0cMK5hFC4vB,1,1,Rev120,Negative relationship (more competition = less growth),95,publishable with minor revision
R_2Wwn0cMK5hFC4vB,2,2,Rev120,Negative relationship (more competition = less growth),95,publishable with minor revision
R_1llU7rt7jpCEaKe,1,1,Rev120,Negative relationship (more competition = less growth),50,publishable with major revision
R_1llU7rt7jpCEaKe,2,2,Rev120,Negative relationship (more competition = less growth),50,publishable with major revision
R_1llU7rt7jpCEaKe,3,3,Rev120,Negative relationship (more competition = less growth),50,publishable with major revision
R_2YDnnczYjl21ufr,1,1,Rev120,Negative relationship (more competition = less growth),60,publishable with major revision
NA,NA,NA,Rev50,Negative relationship (more competition = less growth),75,publishable with minor revision
R_4ZWbwCKuORJbmMx,5,1,Rev50,Negative relationship (more competition = less growth),62,publishable with major revision
R_2y3muAnh5ZdPNsd,1,1,Rev50,Negative relationship (more competition = less growth),92,publishable as is
R_Rk5gQvyBw90zCvf,1,1,Rev50,Negative relationship (more competition = less growth),90,publishable as is
R_234CYWFp3pm7mxh,1,1,Rev50,Negative relationship (more competition = less growth),80,publishable with minor revision
R_234CYWFp3pm7mxh,2,2,Rev50,Negative relationship (more competition = less growth),80,publishable with minor revision
R_21an1zgH6j5Vfds,2,2,Rev60,NA,85,publishable with minor revision
R_21an1zgH6j5Vfds,1,3,Rev60,NA,85,publishable with minor revision
R_21an1zgH6j5Vfds,3,4,Rev60,NA,85,publishable with minor revision
R_3m9pJhdYt9KfVms,1,1,Rev60,NA,75,publishable with minor revision
R_3dWjjdkDbTRCUqs,1,1,Rev60,NA,70,publishable with minor revision
R_rl4gKNbuSPbhvjj,1,1,Rev60,NA,80,publishable with minor revision
R_3E20pSupmdXAXDz,1,1,Rev60,NA,70,publishable with minor revision
R_3E20pSupmdXAXDz,2,2,Rev60,NA,70,publishable with minor revision
R_2y3muAnh5ZdPNsd,1,1,Rev17,Negative relationship (more competition = less growth),90,publishable as is
R_3eemYAT4onCCt0N,1,1,Rev17,Negative relationship (more competition = less growth),30,publishable with major revision
R_2wFd1Uodrx19dK3,1,1,Rev17,Negative relationship (more competition = less growth),80,publishable with minor revision
R_2wFd1Uodrx19dK3,2,2,Rev17,Negative relationship (more competition = less growth),80,publishable with minor revision
R_3ERyi6ZMihKx06s,1,1,Rev17,Negative relationship (more competition = less growth),60,publishable with major revision
R_3rIdpCqsQtsmgqT,1,1,Rev48,Negative relationship (more competition = less growth),91,publishable with minor revision
R_3rIdpCqsQtsmgqT,2,2,Rev48,Negative relationship (more competition = less growth),91,publishable with minor revision
R_3M4jvijC62vcUBW,1,1,Rev48,Negative relationship (more competition = less growth),72,publishable with minor revision
NA,NA,NA,Rev48,Negative relationship (more competition = less growth),96,publishable as is
R_1GEw0p99dpeSW3E,1,1,Rev48,Negative relationship (more competition = less growth),90,publishable with minor revision
R_1GEw0p99dpeSW3E,2,2,Rev48,Negative relationship (more competition = less growth),90,publishable with minor revision
R_1GEw0p99dpeSW3E,3,3,Rev48,Negative relationship (more competition = less growth),90,publishable with minor revision
R_1GEw0p99dpeSW3E,4,4,Rev48,Negative relationship (more competition = less growth),90,publishable with minor revision
R_bacYhUrFeNmgo5r,1,1,Rev48,Negative relationship (more competition = less growth),96,publishable as is
R_bacYhUrFeNmgo5r,2,2,Rev48,Negative relationship (more competition = less growth),96,publishable as is
R_11787O3NmejXKAH,2,1,Rev43,NA,50,deeply flawed and unpublishable
R_SDyCfmAPuL4gcKZ,1,1,Rev43,NA,75,publishable with minor revision
R_SDyCfmAPuL4gcKZ,2,2,Rev43,NA,75,publishable with minor revision
R_SDyCfmAPuL4gcKZ,3,3,Rev43,NA,75,publishable with minor revision
R_SDyCfmAPuL4gcKZ,4,4,Rev43,NA,75,publishable with minor revision
R_SDyCfmAPuL4gcKZ,5,5,Rev43,NA,75,publishable with minor revision
R_3eemYAT4onCCt0N,1,1,Rev43,NA,90,publishable as is
R_es2jrrN9CTGwl5D,1,1,Rev43,NA,60,publishable with major revision
NA,NA,NA,Rev43,NA,80,publishable with minor revision
NA,NA,NA,Rev5,NA,25,deeply flawed and unpublishable
R_22mEYpP8f0QXcTl,1,1,Rev5,NA,70,publishable with major revision
R_QhJspbYhGLOQVZD,1,1,Rev5,NA,75,publishable with minor revision
R_QhJspbYhGLOQVZD,2,2,Rev5,NA,75,publishable with minor revision
R_2yr82cdDjPysYtS,1,1,Rev5,NA,25,deeply flawed and unpublishable
R_2THmmIkaHjHzDVz,1,1,Rev5,NA,80,publishable with minor revision
NA,NA,NA,Rev82,Negative relationship (more competition = less growth),97,publishable as is
R_eqzPwjXV6eOi2zv,1,1,Rev82,Negative relationship (more competition = less growth),82,publishable with minor revision
R_eqzPwjXV6eOi2zv,2,2,Rev82,Negative relationship (more competition = less growth),82,publishable with minor revision
R_1GEw0p99dpeSW3E,1,1,Rev82,Negative relationship (more competition = less growth),48,publishable with major revision
R_1GEw0p99dpeSW3E,2,2,Rev82,Negative relationship (more competition = less growth),48,publishable with major revision
R_1GEw0p99dpeSW3E,3,3,Rev82,Negative relationship (more competition = less growth),48,publishable with major revision
R_1GEw0p99dpeSW3E,4,4,Rev82,Negative relationship (more competition = less growth),48,publishable with major revision
R_2zUZWZuYEjzhNEw,1,1,Rev82,Negative relationship (more competition = less growth),90,publishable with minor revision
R_2Pjoz1X4q5XRClO,1,1,Rev82,Negative relationship (more competition = less growth),92,publishable with minor revision
NA,NA,NA,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision
R_4ZWbwCKuORJbmMx,5,1,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision
R_1MRquC7DrqOiQ5p,1,1,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision
R_126erjKKuN3IwSJ,1,1,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision
R_126erjKKuN3IwSJ,2,2,Rev128,Negative relationship (more competition = less growth),50,publishable with major revision
R_Rk5gQvyBw90zCvf,1,1,Rev128,Negative relationship (more competition = less growth),65,publishable with major revision
R_1GJlffAgZv6SY4y,1,1,Rev32,Negative relationship (more competition = less growth),0,deeply flawed and unpublishable
R_3qfD5ZHHdBbTgk3,8,1,Rev32,Negative relationship (more competition = less growth),75,publishable with minor revision
R_3iKJrflQwwxsps0,1,1,Rev32,Negative relationship (more competition = less growth),75,publishable with minor revision
R_3iKJrflQwwxsps0,2,2,Rev32,Negative relationship (more competition = less growth),75,publishable with minor revision
R_PvSAhRE12PvmEJb,1,1,Rev32,Negative relationship (more competition = less growth),80,publishable with minor revision
R_PvSAhRE12PvmEJb,2,2,Rev32,Negative relationship (more competition = less growth),80,publishable with minor revision
R_PvSAhRE12PvmEJb,3,3,Rev32,Negative relationship (more competition = less growth),80,publishable with minor revision
R_40VJPSNfIlSJGAV,1,1,Rev32,Negative relationship (more competition = less growth),90,publishable with minor revision
R_40VJPSNfIlSJGAV,2,2,Rev32,Negative relationship (more competition = less growth),90,publishable with minor revision
R_40VJPSNfIlSJGAV,3,3,Rev32,Negative relationship (more competition = less growth),90,publishable with minor revision
R_40VJPSNfIlSJGAV,4,4,Rev32,Negative relationship (more competition = less growth),90,publishable with minor revision
R_2Pjoz1X4q5XRClO,1,1,Rev32,Negative relationship (more competition = less growth),75,publishable with minor revision
R_CfUlQXg434XEESd,1,1,Rev103,Negative relationship (more competition = less growth),61,publishable with major revision
R_CfUlQXg434XEESd,2,2,Rev103,Negative relationship (more competition = less growth),61,publishable with major revision
R_CfUlQXg434XEESd,3,3,Rev103,Negative relationship (more competition = less growth),61,publishable with major revision
R_CfUlQXg434XEESd,4,4,Rev103,Negative relationship (more competition = less growth),61,publishable with major revision
R_1dzfML4yheLxG0D,1,1,Rev103,Negative relationship (more competition = less growth),82,publishable with minor revision
R_22mEYpP8f0QXcTl,1,1,Rev103,Negative relationship (more competition = less growth),78,publishable with minor revision
R_1f9Lv1lWGLjMFk8,1,1,Rev103,Negative relationship (more competition = less growth),42,deeply flawed and unpublishable
R_1f9Lv1lWGLjMFk8,2,2,Rev103,Negative relationship (more competition = less growth),42,deeply flawed and unpublishable
R_3E20pSupmdXAXDz,1,1,Rev103,Negative relationship (more competition = less growth),84,publishable with minor revision
R_3E20pSupmdXAXDz,2,2,Rev103,Negative relationship (more competition = less growth),84,publishable with minor revision
R_1E6WYqro4x6Nnz8,1,1,Rev135,Negative relationship (more competition = less growth),85,publishable with minor revision
R_1E099fIoICERZIZ,1,1,Rev135,Negative relationship (more competition = less growth),95,publishable as is
R_1E099fIoICERZIZ,2,2,Rev135,Negative relationship (more competition = less growth),95,publishable as is
NA,NA,NA,Rev135,Negative relationship (more competition = less growth),65,deeply flawed and unpublishable
R_30l9T9czSfysE75,1,1,Rev135,Negative relationship (more competition = less growth),75,publishable with major revision
NA,NA,NA,Rev97,NA,50,deeply flawed and unpublishable
R_DoCdsvLclGEF14Z,1,1,Rev97,NA,15,deeply flawed and unpublishable
R_rqkAgIU6rLn6bO9,1,1,Rev97,NA,60,publishable with minor revision
R_rqkAgIU6rLn6bO9,2,2,Rev97,NA,60,publishable with minor revision
R_yZQkQmoW6cuEO09,1,1,Rev97,NA,75,publishable with minor revision
R_1rq3aFo8fdXcGP3,1,1,Rev97,NA,85,publishable with minor revision
R_1rq3aFo8fdXcGP3,2,2,Rev97,NA,85,publishable with minor revision
R_1dzfML4yheLxG0D,1,1,Rev58,Negative relationship (more competition = less growth),55,publishable with major revision
NA,NA,NA,Rev58,Negative relationship (more competition = less growth),70,publishable with minor revision
R_T0k5x1ig6yJeJl7,1,1,Rev58,Negative relationship (more competition = less growth),85,publishable with minor revision
R_T0k5x1ig6yJeJl7,2,2,Rev58,Negative relationship (more competition = less growth),85,publishable with minor revision
R_2TFNREdJSxTXZBQ,2,1,Rev58,Negative relationship (more competition = less growth),65,publishable with major revision
R_2TFNREdJSxTXZBQ,1,2,Rev58,Negative relationship (more competition = less growth),65,publishable with major revision
R_1ff6slHNcrTJ2JS,1,1,Rev87,Negative relationship (more competition = less growth),95,publishable as is
R_1d0uRf5iNWOLD8M,1,1,Rev87,Negative relationship (more competition = less growth),55,publishable with major revision
R_1eXlFKlQdiD2F59,1,1,Rev87,Negative relationship (more competition = less growth),96,publishable as is
R_1eXlFKlQdiD2F59,2,2,Rev87,Negative relationship (more competition = less growth),96,publishable as is
R_22mEYpP8f0QXcTl,1,1,Rev87,Negative relationship (more competition = less growth),75,publishable with minor revision
R_30l9T9czSfysE75,1,1,Rev87,Negative relationship (more competition = less growth),60,publishable with major revision
R_3rIdpCqsQtsmgqT,1,1,Rev116,Negative relationship (more competition = less growth),99,publishable as is
R_3rIdpCqsQtsmgqT,2,2,Rev116,Negative relationship (more competition = less growth),99,publishable as is
R_1GJlffAgZv6SY4y,1,1,Rev116,Negative relationship (more competition = less growth),0,deeply flawed and unpublishable
R_4ZWbwCKuORJbmMx,5,1,Rev116,Negative relationship (more competition = less growth),95,publishable with minor revision
R_126erjKKuN3IwSJ,1,1,Rev116,Negative relationship (more competition = less growth),85,publishable with major revision
R_126erjKKuN3IwSJ,2,2,Rev116,Negative relationship (more competition = less growth),85,publishable with major revision
R_bacYhUrFeNmgo5r,1,1,Rev116,Negative relationship (more competition = less growth),90,publishable with minor revision
R_bacYhUrFeNmgo5r,2,2,Rev116,Negative relationship (more competition = less growth),90,publishable with minor revision
R_1d0uRf5iNWOLD8M,1,1,Rev124,Negative relationship (more competition = less growth),15,deeply flawed and unpublishable
R_2tarci531JBsPED,1,1,Rev124,Negative relationship (more competition = less growth),60,publishable with major revision
R_2tarci531JBsPED,2,2,Rev124,Negative relationship (more competition = less growth),60,publishable with major revision
R_1rq3aFo8fdXcGP3,1,1,Rev124,Negative relationship (more competition = less growth),60,publishable with major revision
R_1rq3aFo8fdXcGP3,2,2,Rev124,Negative relationship (more competition = less growth),60,publishable with major revision
R_1E6WYqro4x6Nnz8,1,1,Rev124,Negative relationship (more competition = less growth),65,publishable with major revision
R_1QoRu2birFKL9Hx,1,1,Rev136,Negative relationship (more competition = less growth),86,publishable with minor revision
R_2vYtB65EABDGMNB,2,1,Rev136,Negative relationship (more competition = less growth),83,publishable with minor revision
R_2vYtB65EABDGMNB,1,2,Rev136,Negative relationship (more competition = less growth),83,publishable with minor revision
R_2uIDO25lv0nHjfH,1,1,Rev136,Negative relationship (more competition = less growth),93,publishable with minor revision
R_2THmmIkaHjHzDVz,1,1,Rev136,Negative relationship (more competition = less growth),60,publishable with major revision
R_1HeLJJFDOVIZbac,1,1,Rev143,Negative relationship (more competition = less growth),60,publishable with major revision
R_1HeLJJFDOVIZbac,2,2,Rev143,Negative relationship (more competition = less growth),60,publishable with major revision
R_1HeLJJFDOVIZbac,3,3,Rev143,Negative relationship (more competition = less growth),60,publishable with major revision
R_1HeLJJFDOVIZbac,4,4,Rev143,Negative relationship (more competition = less growth),60,publishable with major revision
R_2Uh2qaU1UayMOvG,1,1,Rev143,Negative relationship (more competition = less growth),65,publishable with major revision
R_vMhaGW8Th967p9n,1,1,Rev143,Negative relationship (more competition = less growth),72,publishable with minor revision
R_vMhaGW8Th967p9n,2,2,Rev143,Negative relationship (more competition = less growth),72,publishable with minor revision
R_vMhaGW8Th967p9n,3,3,Rev143,Negative relationship (more competition = less growth),72,publishable with minor revision
