TeamIdentifier,response_id,response_id_S1
Brighton,R_3mfyhAj6rakbi5b,R_2TFbZCxFIz91BGC
Brooklyn,R_3NHVKFiOiQBfX9b,R_3hmCFQPpsjnzIn9
Buckland,R_3NKz8oHb8nvNIQR,R_3QK1xzgTJ8bGXA8
Bundarra,R_3OftgnLM9MoIwf8,R_3NQznAEyv1r7EYF
Bundeena,R_3oWTTWWo1e8y3jB,R_8HD0gUoPI6dKowN
Bungonia,R_3PBpbf5wxagIV7X,R_2AR0oxqShC6F6X3
Busselto,R_3pte7gGbO7GliHv,R_3oT3YU3LVlppnzm
Calliope,R_3rIdpCqsQtsmgqT,R_2y2unLB9OEHQ1Dw
Canberra,R_9FUOSSR4h4s5OlX,R_2CIoVhIILsuLDnv
Capertee,R_9GOTiblKFa9C4x3,R_3g02bmNKhn03pmP
Cardwell,R_9KB5LL2E99Hqfhn,R_cUTDgAVBQZNXp85
Carnarvo,R_AzL6RdNTHtPjxzX,R_dnUGO02cB9hDX2h
Carrieto,R_AzL6RdNTHtPjxzX,R_dnUGO02cB9hDX2h
Bundeena,R_C7CnNaqfX71jQjL,R_8HD0gUoPI6dKowN
Cassilis,R_phpZePnRFCxhQFH,R_3e1UuaQ8cXj5hps
Cervante,R_Rku0BAsjkxtwo7L,R_2SCUgQzoaPusovF
Cessnock,R_V53ZP6DAbdFUqS5,R_1Cjzgo24RVFj7HK
Charlton,R_vojH4E5b8mNOCU9,R_3isNLF1KxlGHcqW
Childers,R_x9Fs6DQf26tdSRr,R_2A0TEri3VfUs2KU
Chiltern,R_XQXeN7diZLPsRVv,R_3JJCmS83SrBY6s9
