qname,question,variable_name
Q139,What error distribution was assumed in your analysis:,error_distribution
Q12,What link function was used in your analysis,link_function
Q91,What link function was used in your analysis,link_function
Q108,What link function was used in your analysis,link_function
Q124,What link function was used in your analysis,link_function
Q140,What link function was used in your analysis,link_function
Q17_Id,predictions_file_ID,predictions_file_ID
Q17_Name,predictions_file_name,predictions_file_name
Q17_Type,predictions_file_type,predictions_file_type
Q96_Id,predictions_file_ID,predictions_file_ID
Q96_Name,predictions_file_name,predictions_file_name
Q96_Type,predictions_file_type,predictions_file_type
Q113_Id,predictions_file_ID,predictions_file_ID
Q113_Name,predictions_file_name,predictions_file_name
Q113_Type,predictions_file_type,predictions_file_type
Q129_Id,predictions_file_ID,predictions_file_ID
Q129_Name,predictions_file_name,predictions_file_name
Q129_Type,predictions_file_type,predictions_file_type
Q145_Id,predictions_file_ID,predictions_file_ID
Q145_Name,predictions_file_name,predictions_file_name
Q145_Type,predictions_file_type,predictions_file_type
