qname,question,variable_name
Q29_Type,"<b>Attach your analysis files </b><br>Please upload a file containing your analysis code (if you have multiple analysis files please compress them into a zip file first). If you conducted analyses with menu-driven software, please upload a file listing the complete sequence of menu options you selected.",AnalysisCodeFile_Type
Q22_Id,"<b>Attach processed data files (if relevant)</b><div>We will need to re-run all or part of your analysis to generate standard effect sizes. Therefore, if your analysis files rely on processed data files please upload the processed data files here (if you have multiple files please compress them into a zip file first)</div>",ProcessedDataFile_Id
Q22_Name,"<b>Attach processed data files (if relevant)</b><div>We will need to re-run all or part of your analysis to generate standard effect sizes. Therefore, if your analysis files rely on processed data files please upload the processed data files here (if you have multiple files please compress them into a zip file first)</div>",ProcessedDataFile_Name
Q22_Size,"<b>Attach processed data files (if relevant)</b><div>We will need to re-run all or part of your analysis to generate standard effect sizes. Therefore, if your analysis files rely on processed data files please upload the processed data files here (if you have multiple files please compress them into a zip file first)</div>",ProcessedDataFile_Size
Q22_Type,"<b>Attach processed data files (if relevant)</b><div>We will need to re-run all or part of your analysis to generate standard effect sizes. Therefore, if your analysis files rely on processed data files please upload the processed data files here (if you have multiple files please compress them into a zip file first)</div>",ProcessedDataFile_Type
Q30_Id,"<b>Attach your output files </b><br>Please 
upload a file containing your analysis output (if you have multiple 
analysis output files please compress them into a zip file first).",OutputFile_Id
Q30_Name,"<b>Attach your output files </b><br>Please 
upload a file containing your analysis output (if you have multiple 
analysis output files please compress them into a zip file first).",OutputFile_Name
Q30_Size,"<b>Attach your output files </b><br>Please 
upload a file containing your analysis output (if you have multiple 
analysis output files please compress them into a zip file first).",OutputFile_Size
Q30_Type,"<b>Attach your output files </b><br>Please 
upload a file containing your analysis output (if you have multiple 
analysis output files please compress them into a zip file first).",OutputFile_Type
Q31_Id,"<b>Attach a results summary file </b><br>Please 
upload a file containing your results as you would present them in a manuscript for publication.This should include parameter (slope) estimates and associated estimates of uncertainty (e.g., standard error) around these estimates as well as other relevant details from the analysis you conducted. Please include this information for all variables included in your model(s), not just the primary independent variable.<br><br>In most cases, it will be appropriate to include this information in one or more tables. ",ResultsSummaryFile_Id
Q31_Name,"<b>Attach a results summary file </b><br>Please 
upload a file containing your results as you would present them in a manuscript for publication.This should include parameter (slope) estimates and associated estimates of uncertainty (e.g., standard error) around these estimates as well as other relevant details from the analysis you conducted. Please include this information for all variables included in your model(s), not just the primary independent variable.<br><br>In most cases, it will be appropriate to include this information in one or more tables. ",ResultsSummaryFile_Name
Q31_Size,"<b>Attach a results summary file </b><br>Please 
upload a file containing your results as you would present them in a manuscript for publication.This should include parameter (slope) estimates and associated estimates of uncertainty (e.g., standard error) around these estimates as well as other relevant details from the analysis you conducted. Please include this information for all variables included in your model(s), not just the primary independent variable.<br><br>In most cases, it will be appropriate to include this information in one or more tables. ",ResultsSummaryFile_Size
Q31_Type,"<b>Attach a results summary file </b><br>Please 
upload a file containing your results as you would present them in a manuscript for publication.This should include parameter (slope) estimates and associated estimates of uncertainty (e.g., standard error) around these estimates as well as other relevant details from the analysis you conducted. Please include this information for all variables included in your model(s), not just the primary independent variable.<br><br>In most cases, it will be appropriate to include this information in one or more tables. ",ResultsSummaryFile_Type
Q31,"What conclusion regarding the original biological question do you draw from your results?  <br>
<br>
As a reminder, here are the two questions:<br>
To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings?  <br>
or<br>
How does grass cover influence Eucalyptus spp. seedling recruitment?",Conclusion
comment,Please use this space for any additional comment you may have at this stage (this is for our information and will not displayed to other teams).,comment
Q38_1,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_1
Q38_4,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_4
Q38_5,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_5
Q38_6,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_6
Q38_7,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_7
Q38_8,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_8
Q38_9,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_9
Q38_10,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_10
Q38_11,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_11
Q38_12,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_12
Q38_13,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_13
Q38_14,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_14
Q38_15,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_15
Q38_16,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_16
Q38_17,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_17
Q38_18,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_18
Q38_19,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_19
Q38_20,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_20
Q38_21,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_21
Q38_22,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_22
Q38_23,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_23
Q38_24,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_24
Q38_25,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_25
Q38_26,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_26
Q38_27,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_27
Q38_28,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_28
Q38_29,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_29
Q38_30,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_30
Q38_31,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_31
Q38_32,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_32
Q38_33,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_33
Q38_34,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_34
Q38_35,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_35
Q38_36,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_36
Q38_37,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_37
Q38_38,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_38
Q38_39,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_39
Q38_40,Which variables did you include when testing the research question (To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings)?,VariablesBTS1_40
Q37_1,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_1
Q37_4,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_4
Q37_5,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_5
Q37_6,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_6
Q37_7,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_7
Q37_8,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_8
Q37_9,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_9
Q37_10,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_10
Q37_11,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_11
Q37_12,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_12
Q37_13,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_13
Q37_14,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_14
Q37_15,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_15
Q37_16,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_16
Q37_17,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_17
Q37_18,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_18
Q37_19,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_19
Q37_20,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_20
Q37_21,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_21
Q37_22,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_22
Q37_23,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_23
Q37_24,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_24
Q37_25,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_25
Q37_26,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_26
Q37_27,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_27
Q37_28,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_28
Q37_29,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_29
Q37_30,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_30
Q37_31,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_31
Q37_32,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_32
Q37_33,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_33
Q37_34,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_34
Q37_35,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_35
Q37_36,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_36
Q37_37,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_37
Q37_38,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_38
Q37_39,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_39
Q37_40,Which variables did you include when testing the research question (How does grass cover influence Eucalyptus spp. seedling recruitment)?,VariablesEucS1_40
